MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
10/01/2023 14:00:00 - 10/01/2023 15:00:00,BZN|NL,Without Sequence,145.41,,
10/01/2023 15:00:00 - 10/01/2023 16:00:00,BZN|NL,Without Sequence,145.92,,
10/01/2023 16:00:00 - 10/01/2023 17:00:00,BZN|NL,Without Sequence,140.11,,
10/01/2023 17:00:00 - 10/01/2023 18:00:00,BZN|NL,Without Sequence,147.9,,
10/01/2023 18:00:00 - 10/01/2023 19:00:00,BZN|NL,Without Sequence,144.74,,
10/01/2023 19:00:00 - 10/01/2023 20:00:00,BZN|NL,Without Sequence,130.1,,
10/01/2023 20:00:00 - 10/01/2023 21:00:00,BZN|NL,Without Sequence,122.81,,
10/01/2023 21:00:00 - 10/01/2023 22:00:00,BZN|NL,Without Sequence,101.9,,
10/01/2023 22:00:00 - 10/01/2023 23:00:00,BZN|NL,Without Sequence,82,,
10/01/2023 23:00:00 - 11/01/2023 00:00:00,BZN|NL,Without Sequence,42.96,,
11/01/2023 00:00:00 - 11/01/2023 01:00:00,BZN|NL,Without Sequence,5,,
11/01/2023 01:00:00 - 11/01/2023 02:00:00,BZN|NL,Without Sequence,0,,
11/01/2023 02:00:00 - 11/01/2023 03:00:00,BZN|NL,Without Sequence,-0.33,,
11/01/2023 03:00:00 - 11/01/2023 04:00:00,BZN|NL,Without Sequence,-0.23,,
11/01/2023 04:00:00 - 11/01/2023 05:00:00,BZN|NL,Without Sequence,0,,
11/01/2023 05:00:00 - 11/01/2023 06:00:00,BZN|NL,Without Sequence,2.59,,
11/01/2023 06:00:00 - 11/01/2023 07:00:00,BZN|NL,Without Sequence,57.31,,
11/01/2023 07:00:00 - 11/01/2023 08:00:00,BZN|NL,Without Sequence,91.11,,
11/01/2023 08:00:00 - 11/01/2023 09:00:00,BZN|NL,Without Sequence,163.58,,
11/01/2023 09:00:00 - 11/01/2023 10:00:00,BZN|NL,Without Sequence,155.6,,
11/01/2023 10:00:00 - 11/01/2023 11:00:00,BZN|NL,Without Sequence,131.78,,
11/01/2023 11:00:00 - 11/01/2023 12:00:00,BZN|NL,Without Sequence,130.6,,
11/01/2023 12:00:00 - 11/01/2023 13:00:00,BZN|NL,Without Sequence,117.82,,
11/01/2023 13:00:00 - 11/01/2023 14:00:00,BZN|NL,Without Sequence,110.54,,
11/01/2023 14:00:00 - 11/01/2023 15:00:00,BZN|NL,Without Sequence,115.74,,
11/01/2023 15:00:00 - 11/01/2023 16:00:00,BZN|NL,Without Sequence,118.83,,
11/01/2023 16:00:00 - 11/01/2023 17:00:00,BZN|NL,Without Sequence,120.81,,
11/01/2023 17:00:00 - 11/01/2023 18:00:00,BZN|NL,Without Sequence,133.79,,
11/01/2023 18:00:00 - 11/01/2023 19:00:00,BZN|NL,Without Sequence,133.87,,
11/01/2023 19:00:00 - 11/01/2023 20:00:00,BZN|NL,Without Sequence,129.9,,
11/01/2023 20:00:00 - 11/01/2023 21:00:00,BZN|NL,Without Sequence,118.53,,
11/01/2023 21:00:00 - 11/01/2023 22:00:00,BZN|NL,Without Sequence,94.87,,
11/01/2023 22:00:00 - 11/01/2023 23:00:00,BZN|NL,Without Sequence,92.03,,
11/01/2023 23:00:00 - 12/01/2023 00:00:00,BZN|NL,Without Sequence,69.23,,
